ZIPCODE,crime_rate,density,subway_count,tree_count,AREA,tree_density
10464,0.0,4.805216088534351e-05,0.0,1051.0,92357969.30317952,1.1379635216425425e-05
10465,2.3802723031514804e-05,0.0003874797038706781,1.0,5183.0,108423743.438241,4.7803182546932414e-05
10466,0.00010153462330654754,0.0012475369683113064,7.0,5082.0,55262490.6124597,9.196111039653708e-05
10467,0.00019401217171098313,0.0014124230560092262,19.0,4355.0,69336166.3726341,6.280993351427706e-05
10468,0.00023326975589006132,0.002115589768677724,17.0,2990.0,34447604.6722183,8.679848797763896e-05
10469,7.680373573370609e-05,0.0009567923465577846,5.0,6710.0,68040887.0683502,9.861717401272997e-05
10470,0.000271370420624152,0.0006841983097430498,4.0,1375.0,21543461.581388,6.382446919244868e-05
10471,0.00012778464028623759,0.000261869844214714,3.0,1899.0,89651407.0583499,2.1182043453752262e-05
10472,0.00012056181807221654,0.0021430570212005143,8.0,3430.0,30963245.1883283,0.00011077650224121049
10473,0.0,0.0009791951351749947,0.0,4369.0,59522354.5402765,7.340099419359604e-05
10474,0.0,0.0003023827430942928,0.0,2644.0,40614090.1902275,6.510055962391582e-05
10475,0.0,0.0010594746824054233,0.0,1865.0,38633296.9345436,4.8274419942980006e-05
11001,0.0,0.00043079435759913457,0.0,1371.0,9155180.26276007,0.00014975128404371538
11004,0.0,0.0005209115068857075,0.0,4130.0,22606526.9135699,0.00018269060151477346
11005,0.0,0.0003892886708204987,0.0,168.0,9075527.40374782,1.8511320888152783e-05
11040,0.0,0.00037468098211584764,0.0,865.0,6269333.411947,0.00013797320116228532
11096,0.0,9.049383560280401e-05,0.0,9.0,1624420.0394512299,5.540438914457388e-06
11101,0.0019806505675325665,0.00033248867169487965,52.0,3387.0,78962088.741757,4.289400209608279e-05
11102,0.0002062220127268442,0.0017756612839280124,7.0,1742.0,19116258.4369194,9.112661903731434e-05
11103,0.0001830831197363603,0.001890676188849504,7.0,2376.0,20222394.6255259,0.00011749350381091232
11104,0.0003686364139049655,0.0022447889763801076,10.0,1664.0,12084432.1160844,0.00013769782344883323
11105,0.00010838346068389963,0.000756338561034894,4.0,3925.0,48795608.0799341,8.043756711813685e-05
11106,0.0001551791025475236,0.0016200795012058465,6.0,1964.0,23866112.7254688,8.229241278593773e-05
11109,0.0,0.004734728324217894,0.0,92.0,581237.15059292,0.00015828306897821447
11201,0.001074640372541996,0.0012906958547510528,57.0,4514.0,41094886.7657365,0.0001098433492646491
11203,0.0,0.0012871664901528818,0.0,5141.0,60644835.4561565,8.477226397483942e-05
11204,0.00010342063758823073,0.0017759998192363499,8.0,4731.0,43555184.613285,0.00010862082303186869
11205,0.00026747720364741644,0.001767285712526812,11.0,2640.0,23270147.9497623,0.00011345007370384884
11206,0.0002752019144481005,0.0020534034287991642,23.0,4068.0,40700720.9727291,9.994908942093928e-05
11207,0.0003313523451195006,0.0012648469628671322,31.0,8634.0,73966260.541061,0.00011672889688950808
11208,0.00018006567100942696,0.0011904869348279225,17.0,8245.0,79303684.263991,0.00010396742694265673
11209,0.0001588332972348567,0.0011973068720318302,11.0,6201.0,57842313.9612272,0.00010720525468874996
11210,0.00011928370137325361,0.0014005255664145076,8.0,5452.0,47887022.9921604,0.0001138513037424053
11211,0.00044363385419233993,0.0015038219452279602,27.0,4143.0,40470881.6712834,0.00010236989729185256
11212,0.00011923783177926692,0.001998136663753942,10.0,4205.0,41972104.0714198,0.00010018558976325717
11213,0.0001922275974754109,0.002106779745882353,12.0,3652.0,29631004.437939,0.00012324928126040998
11214,0.0002357934449422306,0.0014577094036822198,21.0,4341.0,61096539.3891465,7.105148742305292e-05
11215,0.0003951194841320015,0.0010217880615868379,25.0,6360.0,61922821.7461638,0.00010270849778246758
11216,0.0001856596487319446,0.0020341994724837444,10.0,3512.0,26478229.2634433,0.00013263726834062808
11217,0.0006554690700532568,0.0016913679374003076,24.0,3244.0,21648157.7960373,0.0001498510880493404
11218,0.0001936912008854455,0.0019604652709214266,14.0,4868.0,36868798.9897562,0.00013203576285065723
11219,0.00020527003813701234,0.002203689649240704,19.0,4463.0,42002738.4672304,0.00010625497676733466
11220,0.00019535868883473683,0.002049509820546051,19.0,4677.0,47453785.7906374,9.855904902160133e-05
11221,7.478312892611427e-05,0.002079600852472902,6.0,5098.0,38580480.4343075,0.00013213936017931568
11222,0.00030290513561889026,0.0008479801830960361,11.0,3704.0,42825293.236702,8.649094308654048e-05
11223,0.00022538315135730742,0.001360477388248792,18.0,5981.0,58702923.4662996,0.00010188589676344817
11224,0.00020161290322580645,0.001062053386461021,10.0,1949.0,46701983.7536391,4.173270262525262e-05
