,urination_density,shop_count,shop_density,toilet_count,toilet_density,green_space_ratio,PrecentAgeUnder5,PrecentAge5to9,PrecentAge10to14,PrecentAge15to19,PrecentAge20to24,PrecentAge25to34,PrecentAge35to44,PrecentAge45to54,PrecentAge55to59,PrecentAge60to64,PrecentAge65to74,PrecentAge75to84,PrecentAge85andOlder,Male Percent,Female Percent,PercentWhite,PercetnBlack,PercentAmericanIndianandAlaskaNative,PercentAsian,PercentNativeHawaiianandOtherPacificIslander,PercentSomeOtherRace,PercentHispanicOrLatino,Less Than 9th Grade,"9th to 12th Grade, No Diploma",High School Graduate,"Some College, No Degree",Associate's Degree,Bachelor's Degree,Graduate or Professional Degree,"PercentUnder$10,000","Percetn$10,000to$14,999","Percent$15,000to$24,999","Percetn$25,000to$34,999","Percent$35,000to$49,999","Percetn$50,000to$74,999","Percent$75,000to$99,999","Percetn$100,000to$149,999","Percent$150,000to$199,999","Percetn$200,000ormore",Median Household Income,crime_rate,population_density,subway_count,tree_count,AREA,tree_density
10474,0.000814265939255761,6,1.4773198099224467e-07,0,0.0,0.01912736046262462,8.7,9.2,7.6,6.1,8.6,18.6,13.5,9.4,4.8,5.4,4.9,2.1,1.1,0.5117022195353658,0.4882977804646342,13.8,42.6,0.4,0.2,0.0,32.1,62.8,11.1,14.6,39.1,17.1,7.4,7.3,3.4,14.7,11.0,19.3,9.1,16.9,9.4,10.9,4.5,3.4,0.8,28419.0,0.0,0.0003023827430942928,0.0,2644.0,40614090.1902275,6.510055962391582e-05
11001,0.0007606490872210953,8,8.738222263674129e-07,0,0.0,0.0,4.9,6.4,5.9,6.5,5.7,11.4,11.7,14.7,7.2,7.6,10.7,4.6,2.7,0.4958556250470952,0.5041443749529049,63.6,5.5,0.5,21.4,0.0,5.7,13.6,4.9,4.6,18.7,13.8,7.3,29.8,20.9,1.1,0.3,2.5,2.1,4.5,9.0,11.2,23.0,17.4,28.8,124949.0,0.0,0.00043079435759913457,0.0,1371.0,9155180.26276007,0.00014975128404371538
11004,0.000594429347826087,24,1.0616402993594582e-06,0,0.0,0.0155275433278684,7.5,5.3,3.6,4.0,4.8,16.3,10.5,9.8,6.5,8.7,8.8,9.6,4.5,0.4711381316598026,0.5288618683401974,32.7,4.9,0.4,47.6,0.3,8.6,12.1,5.6,5.4,21.4,12.8,6.9,26.2,21.7,1.6,1.6,3.3,6.2,4.0,12.0,13.6,22.7,16.8,18.2,97845.0,0.0,0.0005209115068857075,0.0,4130.0,22606526.913569897,0.00018269060151477343
11040,0.0,2,3.1901318187811635e-07,0,0.0,0.0027177782851707495,5.2,5.0,5.7,6.6,6.4,9.9,12.5,14.6,7.6,7.0,11.0,5.6,3.0,0.4796859571803579,0.5203140428196421,48.6,0.9,0.7,39.5,0.2,5.9,13.1,3.1,4.1,21.1,12.6,6.4,30.2,22.7,1.2,0.4,2.4,2.4,4.9,8.8,11.7,19.6,18.8,29.8,132767.0,0.0,0.00037468098211584764,0.0,865.0,6269333.411947,0.00013797320116228532
11101,0.0013331301896853812,190,2.406218009523392e-06,6,7.598583187968607e-08,0.01906077970601952,6.8,4.8,3.7,3.4,6.4,28.6,18.2,11.8,4.2,4.6,5.0,1.6,0.8,0.5083136121953469,0.4916863878046532,41.0,13.7,0.6,26.5,0.0,10.0,21.8,4.6,4.6,21.3,8.4,5.1,32.1,23.8,2.8,3.7,6.4,6.1,10.7,10.7,8.5,16.5,10.5,24.0,89525.0,0.0019806505675325665,0.00033248867169487965,52.0,3387.0,78962088.74175699,4.289400209608279e-05
11102,0.0008248880509073768,101,5.283460690452783e-06,3,1.5693447595404306e-07,0.04722950535404421,5.6,2.6,2.9,3.6,6.3,29.5,16.0,11.5,4.0,4.8,7.9,3.6,1.5,0.4849254205014281,0.5150745794985718,58.0,7.7,0.7,16.5,0.1,11.0,25.7,7.2,3.3,20.1,9.7,5.5,34.7,19.6,4.2,5.4,8.5,5.3,9.0,10.8,11.0,17.9,10.0,17.9,81462.0,0.0002062220127268442,0.0017756612839280126,7.0,1742.0,19116258.4369194,9.112661903731434e-05
11103,0.0010984987184181618,169,8.357071609446205e-06,3,1.4835038359963677e-07,0.01148112881334755,4.9,3.0,2.9,3.5,5.6,31.6,17.0,11.7,5.5,3.9,6.5,3.1,0.8,0.494706231118891,0.505293768881109,66.5,2.9,0.3,14.3,0.0,8.7,24.1,6.9,3.4,19.8,9.6,6.0,36.0,18.3,4.0,1.3,6.5,6.9,9.2,16.2,13.8,22.9,11.4,7.8,81677.0,0.0001830831197363603,0.001890676188849504,7.0,2376.0,20222394.625525896,0.00011749350381091234
11105,0.0009483552809841218,111,2.2747948917485836e-06,7,1.4345553371387464e-07,0.05635688000731774,5.7,4.2,3.8,2.9,5.3,27.2,15.4,11.5,6.4,4.6,6.6,4.6,1.7,0.5060343906867457,0.4939656093132543,73.0,2.7,0.2,10.3,0.0,5.6,22.4,6.5,4.9,19.1,11.0,7.4,32.0,19.1,1.6,1.3,6.1,7.8,7.1,16.5,14.3,20.4,11.9,13.1,86516.0,0.00010838346068389965,0.0007563385610348941,4.0,3925.0,48795608.0799341,8.043756711813685e-05
11106,0.0006983059614638562,121,5.069950074897386e-06,3,1.2570124152638147e-07,0.03915062942982924,4.4,4.6,4.0,2.8,6.0,27.7,15.2,11.2,5.5,4.6,7.3,4.5,2.2,0.4851188871515609,0.5148811128484391,54.9,7.6,0.2,17.9,0.0,13.1,27.6,8.0,4.7,19.2,11.1,6.7,31.8,18.4,2.8,2.9,5.0,11.1,10.5,16.1,11.5,16.5,11.3,12.4,71865.0,0.00015517910254752359,0.0016200795012058465,6.0,1964.0,23866112.725468803,8.229241278593773e-05
11203,0.0006021009479887266,19,3.1329955563546953e-07,2,3.2978900593207324e-08,0.021886931079602316,5.3,5.8,5.8,5.5,5.9,15.1,12.7,11.8,7.3,6.9,9.8,6.1,2.1,0.4433231514776579,0.5566768485223421,4.4,86.5,0.2,2.0,0.0,2.8,6.8,4.9,5.8,36.0,18.5,8.0,17.8,9.0,4.1,2.7,6.7,8.5,12.5,16.6,13.9,20.1,9.4,5.4,57707.0,0.0,0.0012871664901528818,0.0,5141.0,60644835.45615649,8.477226397483942e-05
