,ZIPCODE,shop_count,shop_density
62,10118,1,1.0901117392017473e-05
63,10119,0,0.0
64,10120,2,5.685165933960064e-05
65,10121,0,0.0
66,10122,1,4.292833378632155e-05
67,10123,2,0.0001239269708463354
68,10128,183,1.6618715230338018e-05
69,10151,1,4.677209763530786e-05
70,10152,0,0.0
71,10153,3,3.734146344440118e-05
72,10154,0,0.0
73,10155,1,4.034749109124681e-05
74,10158,0,0.0
75,10162,0,0.0
76,10165,0,0.0
77,10166,0,0.0
78,10167,0,0.0
79,10168,1,3.595813056226393e-05
80,10169,0,0.0
81,10170,0,0.0
82,10171,0,0.0
83,10172,2,2.5129069148636957e-05
84,10173,1,3.8926529955355065e-05
85,10174,1,2.2622783462854716e-05
86,10175,1,5.351773539685786e-05
87,10176,0,0.0
88,10177,1,4.050542490606124e-05
89,10178,0,0.0
90,10196,0,0.0
91,10203,0,0.0
92,10259,0,0.0
93,10260,1,1.9042274485906337e-05
94,10265,0,0.0
95,10270,1,3.199406146546539e-05
96,10271,0,0.0
97,10275,0,0.0
98,10278,0,0.0
99,10279,0,0.0
100,10280,5,2.2380236565793378e-06
101,10281,2,2.0923613890996057e-06
102,10282,1,6.398587243336348e-07
103,10285,0,0.0
104,10286,0,0.0
105,10301,18,1.71130783249237e-07
106,10302,6,2.0300911599764018e-07
107,10303,21,2.572590746624355e-07
108,10304,5,5.090266728262164e-08
109,10305,19,1.704925351308902e-07
110,10306,89,5.111920266032452e-07
111,10307,29,6.300460355791365e-07
112,10308,31,4.940157024216275e-07
113,10309,137,6.347417996225437e-07
114,10310,5,9.352214206419142e-08
115,10312,105,6.209805081000928e-07
116,10314,314,6.624672052916976e-07
117,10451,20,6.909869540570288e-07
118,10452,12,4.355655874981911e-07
119,10453,43,1.6699995928426001e-06
120,10454,12,3.863040617436291e-07
121,10455,14,7.053991660789742e-07
122,10456,22,7.349636680493684e-07
123,10457,18,4.782069486447598e-07
124,10458,89,2.474365785690927e-06
125,10459,17,7.538153965919074e-07
126,10460,12,3.413389972327625e-07
127,10461,59,9.39130681427392e-07
128,10462,24,4.526379134187734e-07
129,10463,44,1.1048868198982428e-06
130,10464,14,1.51584103739254e-07
131,10465,19,1.7523836935977538e-07
132,10466,28,5.066727845539232e-07
133,10467,29,4.182521405083891e-07
134,10468,60,1.7417756784810496e-06
135,10469,14,2.0575863430375851e-07
136,10470,12,5.570135493159157e-07
137,10471,14,1.5616040460902143e-07
138,10472,54,1.7440032422814481e-06
139,10473,9,1.512036959813148e-07
140,10474,6,1.4773198099224467e-07
141,10475,29,7.50647816807732e-07
142,11001,8,8.738222263674129e-07
143,11004,24,1.0616402993594582e-06
144,11005,0,0.0
145,11040,2,3.1901318187811635e-07
146,11096,0,0.0
147,11101,190,2.406218009523392e-06
148,11102,101,5.283460690452783e-06
149,11103,169,8.357071609446205e-06
150,11104,50,4.1375547911308065e-06
151,11105,111,2.2747948917485836e-06
152,11106,121,5.069950074897386e-06
153,11109,5,8.602340705337744e-06
154,11201,521,1.2677976288631409e-05
155,11203,19,3.1329955563546953e-07
156,11204,114,2.617369229683583e-06
157,11205,191,8.207940938422397e-06
158,11206,143,3.513451275121514e-06
159,11207,52,7.030232381577972e-07
160,11208,25,3.152438658055086e-07
161,11209,229,3.959039400697265e-06
162,11210,14,2.9235477850214126e-07
163,11211,210,5.188915865626125e-06
164,11212,19,4.526816184308885e-07
165,11213,35,1.1811951928023957e-06
166,11214,86,1.407608366363177e-06
167,11215,612,9.883270541331786e-06
168,11216,285,1.0763559646093111e-05
169,11217,393,1.8153969668122924e-05
170,11218,175,4.746560907737267e-06
171,11219,68,1.6189420614337343e-06
172,11220,368,7.754913414571155e-06
173,11221,137,3.5510185061918885e-06
174,11222,225,5.253904480148923e-06
175,11223,65,1.107270237355648e-06
176,11224,67,1.4346285663888795e-06
177,11225,124,5.232369944859477e-06
178,11226,80,2.0300138419946426e-06
179,11228,52,1.184698487238646e-06
180,11229,50,8.316793152340736e-07
181,11230,47,9.413799991907949e-07
182,11231,256,6.386959237660902e-06
183,11232,281,5.028716912932164e-06
184,11233,58,1.531486827249485e-06
185,11234,42,2.036847145973718e-07
186,11235,129,1.8681085521206694e-06
187,11236,22,2.2827735606014452e-07
