,PrecentAgeUnder5,PrecentAge5to9,PrecentAge10to14,PrecentAge15to19,PrecentAge20to24,PrecentAge25to34,PrecentAge35to44,PrecentAge45to54,PrecentAge55to59,PrecentAge60to64,PrecentAge65to74,PrecentAge75to84,PrecentAge85andOlder,zip code tabulation area
87,6.1,6.2,6.5,4.9,5.6,13.2,11.9,11.7,6.5,7.6,11.7,5.6,2.6,11229.0
88,5.6,5.6,6.6,5.8,5.8,11.7,12.5,13.1,7.3,7.2,10.7,5.9,2.2,11234.0
89,5.9,4.2,6.5,4.7,4.0,10.4,11.6,15.6,6.0,7.6,12.6,7.3,3.7,11357.0
90,9.2,6.6,5.2,6.2,5.9,15.2,11.9,10.1,5.6,6.1,9.3,5.7,2.8,11367.0
91,5.8,4.6,6.2,5.4,5.7,14.5,13.7,14.4,6.9,6.1,9.2,5.3,2.3,11369.0
92,6.6,5.7,5.7,3.4,5.2,16.6,13.9,14.7,7.1,5.7,9.2,4.1,2.2,11415.0
93,7.3,5.6,6.1,6.5,6.6,16.0,11.7,13.4,6.7,6.9,8.8,3.0,1.4,11418.0
94,6.0,5.3,5.7,6.3,7.0,14.6,14.7,13.7,7.9,5.9,8.0,3.5,1.4,11421.0
95,7.3,4.7,6.3,7.6,7.8,13.9,11.9,12.0,6.5,6.3,9.6,4.3,1.9,11432.0
96,7.5,5.3,3.6,4.0,4.8,16.3,10.5,9.8,6.5,8.7,8.8,9.6,4.5,11004.0
98,9.2,6.6,6.0,5.3,6.6,26.9,15.7,8.6,3.3,3.2,5.0,2.4,1.4,11211.0
99,6.1,5.5,5.9,3.7,4.6,13.8,18.4,15.7,6.8,5.1,8.7,4.0,1.7,11372.0
100,4.8,3.3,2.1,2.1,5.2,31.7,21.7,10.1,4.2,3.8,5.6,3.7,1.9,11222.0
101,7.2,6.2,5.6,5.6,8.0,19.6,13.2,13.0,5.0,5.2,6.3,3.7,1.5,11233.0
102,6.5,4.3,4.7,4.0,4.2,13.6,12.1,12.6,6.8,6.9,12.3,7.7,4.3,11235.0
103,8.1,5.8,5.5,4.2,4.6,15.4,11.8,11.8,6.6,5.9,12.7,4.9,2.6,11426.0
104,7.3,4.9,4.5,5.2,5.2,12.8,11.7,12.4,6.7,7.9,12.8,5.3,3.2,11427.0
105,6.8,4.8,3.7,3.4,6.4,28.6,18.2,11.8,4.2,4.6,5.0,1.6,0.8,11101.0
106,9.7,8.2,6.7,8.0,8.3,20.4,14.5,9.2,3.3,3.8,4.2,2.5,1.2,11205.0
107,7.8,5.8,5.5,3.4,2.8,20.8,19.9,13.6,5.2,4.2,6.9,2.9,1.2,11215.0
108,13.7,10.2,9.0,7.2,6.9,14.3,10.7,8.2,3.8,4.1,6.9,2.8,2.1,11219.0
109,6.5,5.6,5.5,5.9,6.3,20.5,15.4,12.0,5.3,5.3,7.5,3.1,1.1,11226.0
110,5.7,5.1,5.4,5.3,5.2,14.1,12.8,13.6,6.9,6.7,10.3,6.0,2.9,11228.0
111,6.3,6.4,5.9,6.0,6.4,14.8,13.0,12.4,7.4,6.7,8.9,4.2,1.6,11236.0
112,6.1,4.7,5.2,4.8,9.9,13.1,10.2,13.3,6.6,8.3,9.6,5.8,2.4,11366.0
113,3.9,3.8,4.0,6.6,8.0,19.2,15.2,15.4,5.9,4.5,7.5,3.1,3.0,11370.0
115,5.9,5.3,4.0,3.7,3.7,16.9,14.8,12.0,8.1,6.4,10.2,6.4,2.6,11374.0
116,4.7,5.6,5.9,4.8,4.1,13.5,12.5,14.9,7.5,7.2,10.4,5.6,3.2,11379.0
117,5.6,4.5,5.1,5.5,7.9,15.5,12.1,15.0,7.4,6.1,9.3,5.3,0.8,11419.0
118,5.2,4.4,6.0,6.3,5.7,16.0,12.8,14.6,7.0,7.5,9.3,3.9,1.3,11422.0
119,5.0,4.5,5.9,4.3,6.6,15.5,10.0,13.6,7.1,6.8,12.5,6.2,1.9,11428.0
120,6.1,5.2,7.6,7.3,7.0,17.2,12.2,11.8,6.3,6.2,7.4,4.2,1.7,11433.0
121,3.0,4.1,4.3,3.2,6.2,17.5,12.0,12.3,7.0,6.7,11.9,7.3,4.5,10002.0
122,5.1,5.3,5.3,5.9,7.4,18.0,13.5,12.9,5.6,5.7,8.6,4.6,2.1,10029.0
123,4.6,4.0,4.6,4.6,7.8,24.7,15.4,12.1,4.4,6.7,6.8,3.2,1.1,10031.0
124,6.6,3.9,5.5,4.7,6.2,19.8,15.6,13.9,5.9,5.1,7.5,4.2,1.1,10034.0
125,5.0,6.0,4.1,5.3,6.9,17.8,14.6,11.0,6.3,5.0,10.2,4.1,3.6,10040.0
129,5.2,3.6,4.0,3.6,4.4,14.7,11.6,15.4,9.1,6.7,10.6,6.9,4.2,11354.0
130,7.8,5.3,7.7,7.1,5.4,12.9,16.6,12.7,5.2,5.0,9.3,3.3,1.6,11356.0
131,5.2,2.4,4.2,4.3,5.3,10.2,11.2,13.0,7.9,8.2,12.6,10.0,5.6,11360.0
132,5.2,6.0,3.8,4.6,4.4,9.4,12.8,14.1,8.0,7.0,13.1,6.6,5.0,11362.0
133,4.5,4.7,6.3,4.9,9.6,28.7,14.2,10.9,4.5,3.7,4.8,2.7,0.6,11237.0
134,5.3,5.8,5.8,5.5,5.9,15.1,12.7,11.8,7.3,6.9,9.8,6.1,2.1,11203.0
135,7.8,7.4,7.8,6.7,6.7,16.0,13.1,11.6,7.0,5.3,7.0,2.8,0.9,11208.0
136,6.1,6.8,7.1,7.1,6.4,14.0,12.6,11.8,6.6,5.9,9.9,3.8,2.0,11210.0
137,6.3,5.1,6.8,5.6,5.9,16.1,12.9,13.0,7.4,6.5,8.5,4.3,1.5,11212.0
138,5.7,5.6,5.1,4.8,9.6,25.8,13.5,10.7,4.7,4.3,6.3,2.9,1.1,11221.0
139,4.2,5.3,6.6,5.0,5.9,8.2,9.7,10.3,8.0,5.7,12.1,12.4,6.4,11239.0
140,4.7,4.1,6.1,4.0,4.7,14.3,11.5,14.6,8.8,6.4,11.9,5.2,3.8,11361.0
141,4.9,5.1,6.4,5.3,4.6,10.8,13.3,14.2,7.8,7.7,13.1,4.5,2.4,11364.0
142,4.7,5.7,6.3,6.1,7.0,12.7,13.7,14.0,6.9,6.7,8.4,5.7,2.2,11413.0
143,4.9,4.5,4.6,6.0,8.3,14.5,10.5,14.8,6.8,6.9,8.8,6.0,3.4,11429.0
144,6.3,6.1,6.3,6.3,6.2,13.7,12.5,13.3,7.7,6.4,9.2,4.0,2.1,11434.0
145,5.0,6.3,5.8,6.1,6.8,14.9,14.0,14.3,7.5,6.1,8.5,3.3,1.5,11436.0
146,7.9,7.4,9.3,5.0,5.2,11.2,15.3,12.0,6.7,5.9,8.1,4.3,1.7,11692.0
147,3.3,1.6,1.5,3.5,2.6,31.1,13.0,18.9,7.9,8.3,6.5,0.9,1.1,10004.0
148,4.4,3.7,3.3,4.6,7.8,19.9,11.1,12.6,5.7,6.6,11.1,5.9,3.5,10025.0
